@relation ./otheralgorithms/DSSD/data/datasets/tmp/tmp

@attribute Cement numeric
@attribute BlastFurnaceSlag numeric
@attribute FlyAsh numeric
@attribute Water numeric
@attribute Superplasticizer numeric
@attribute CoarseAggregate numeric
@attribute FineAggregate numeric
@attribute Age numeric
@attribute class numeric
@data
252.0,0.0,0.0,185.0,0.0,1111.0,784.0,7.0,13.71
295.799988,0.0,0.0,185.699997,0.0,1091.400024,769.299988,7.0,14.84
252.30000299999998,0.0,98.800003,146.300003,14.2,987.7999880000001,889.0,3.0,21.780001000000002
172.399994,13.6,172.399994,156.800003,4.1,1006.2999880000001,856.400024,28.0,33.689999
162.0,214.0,164.0,202.0,10.0,820.0,680.0,28.0,30.65
446.0,24.0,79.0,162.0,11.6,967.0,712.0,56.0,55.25
540.0,0.0,0.0,173.0,0.0,1125.0,613.0,14.0,59.759997999999996
154.800003,0.0,142.800003,193.300003,9.1,1047.400024,696.700012,28.0,12.46
167.399994,129.899994,128.600006,175.5,7.8,1006.2999880000001,746.599976,56.0,51.720001
277.0,0.0,0.0,191.0,0.0,968.0,856.0,14.0,21.26
251.399994,0.0,118.300003,192.899994,5.8,1043.599976,754.299988,100.0,40.150002
382.0,0.0,0.0,186.0,0.0,1047.0,739.0,7.0,24.0
153.0,102.0,0.0,192.0,0.0,888.0,943.099976,28.0,17.959999
400.0,0.0,0.0,187.0,0.0,1025.0,745.0,7.0,30.139999
397.0,0.0,0.0,186.0,0.0,1040.0,734.0,28.0,36.939999
275.100006,0.0,121.400002,159.5,9.9,1053.599976,777.5,56.0,56.849998
154.0,144.0,112.0,220.0,10.0,923.0,658.0,28.0,16.5
116.0,173.0,0.0,192.0,0.0,909.7999880000001,891.900024,90.0,31.02
387.0,20.0,94.0,157.0,13.9,938.0,845.0,56.0,47.970001
387.0,20.0,94.0,157.0,14.3,938.0,845.0,7.0,36.84
288.0,121.0,0.0,177.0,7.0,908.0,829.0,28.0,42.130001
350.0,0.0,0.0,186.0,0.0,1050.0,770.0,7.0,20.280001000000002
158.800003,238.19999700000002,0.0,185.699997,0.0,1040.599976,734.299988,28.0,21.07
439.0,177.0,0.0,186.0,11.1,884.900024,707.900024,3.0,39.299999
192.0,288.0,0.0,192.0,0.0,929.7999880000001,716.099976,90.0,50.73
149.0,118.0,92.0,183.0,7.0,953.0,780.0,28.0,23.52
173.5,50.099998,173.5,164.800003,6.5,1006.2000119999999,793.5,3.0,23.08
313.299988,145.0,0.0,178.5,8.0,1001.900024,688.700012,28.0,41.049999
173.800003,93.400002,159.899994,172.300003,9.7,1007.2000119999999,746.599976,28.0,37.810001
165.0,128.5,132.100006,175.100006,8.1,1005.7999880000001,746.599976,14.0,33.09
237.5,237.5,0.0,228.0,0.0,932.0,594.0,7.0,26.26
491.0,26.0,123.0,210.0,3.9,882.0,699.0,28.0,55.549999
167.0,75.400002,167.0,164.0,7.9,1007.2999880000001,770.099976,100.0,56.810001
276.399994,116.0,90.300003,179.600006,8.9,870.099976,768.299988,28.0,44.279999
330.5,169.600006,0.0,194.899994,8.1,811.0,802.299988,28.0,56.619999
288.0,192.0,0.0,192.0,0.0,932.0,717.799988,90.0,50.529999
229.69999700000002,0.0,118.199997,195.199997,6.1,1028.099976,757.599976,28.0,24.540001
350.0,0.0,0.0,203.0,0.0,974.0,775.0,180.0,32.720001
333.0,0.0,0.0,192.0,0.0,931.2000119999999,842.599976,28.0,31.969998999999998
310.0,143.0,0.0,168.0,10.0,914.0,804.0,28.0,45.299999
135.0,0.0,166.0,180.0,10.0,961.0,805.0,28.0,13.29
255.0,0.0,0.0,192.0,0.0,889.7999880000001,945.0,3.0,8.2
427.5,47.5,0.0,228.0,0.0,932.0,594.0,180.0,41.84
376.0,0.0,0.0,214.600006,0.0,1003.5,762.400024,3.0,16.280001000000002
168.0,42.099998,163.800003,121.800003,5.7,1058.699951,780.099976,3.0,7.75
102.0,153.0,0.0,192.0,0.0,887.0,942.0,28.0,17.280001000000002
425.0,106.300003,0.0,153.5,16.5,852.099976,887.099976,7.0,49.200001
165.0,128.5,132.100006,175.100006,8.1,1005.7999880000001,746.599976,28.0,46.389998999999996
389.899994,189.0,0.0,145.899994,22.0,944.7000119999999,755.799988,91.0,82.599998
172.399994,13.6,172.399994,156.800003,4.1,1006.2999880000001,856.400024,14.0,29.75
277.200012,97.800003,24.5,160.699997,11.2,1061.699951,782.5,3.0,30.450001
380.0,95.0,0.0,228.0,0.0,932.0,594.0,7.0,32.82
266.0,112.0,87.0,178.0,10.0,910.0,745.0,28.0,39.419998
401.799988,94.699997,0.0,147.399994,11.4,946.7999880000001,852.099976,3.0,41.099998
135.699997,203.5,0.0,185.699997,0.0,1076.199951,759.299988,7.0,7.51
238.100006,0.0,94.099998,186.699997,7.0,949.900024,847.0,28.0,30.23
279.799988,128.899994,100.400002,172.399994,9.5,825.099976,804.900024,28.0,52.830002
281.0,0.0,0.0,185.0,0.0,1104.0,774.0,28.0,22.440001000000002
374.0,189.199997,0.0,170.100006,10.1,926.099976,756.700012,28.0,61.09
251.399994,0.0,118.300003,188.5,5.8,1028.400024,757.700012,3.0,17.219998999999998
375.0,93.800003,0.0,126.599998,23.4,852.099976,992.599976,56.0,60.200001
142.0,167.0,130.0,174.0,11.0,883.0,785.0,28.0,44.610001000000004
164.0,0.0,200.0,181.0,13.0,849.0,846.0,28.0,15.09
272.799988,105.099998,81.800003,209.699997,9.0,904.0,679.700012,28.0,37.169998
233.80000299999998,0.0,94.599998,197.899994,4.6,947.0,852.2000119999999,56.0,27.66
446.0,24.0,79.0,162.0,11.6,967.0,712.0,28.0,51.02
212.5,0.0,100.400002,159.300003,8.7,1007.7999880000001,903.599976,14.0,26.309998999999998
500.0,0.0,0.0,200.0,0.0,1125.0,613.0,90.0,47.220001
236.0,157.0,0.0,192.0,0.0,972.599976,749.099976,7.0,20.42
190.699997,0.0,125.400002,162.100006,7.8,1090.0,804.0,100.0,40.57
304.0,76.0,0.0,228.0,0.0,932.0,670.0,28.0,47.810001
238.0,0.0,0.0,186.0,0.0,1119.0,789.0,7.0,12.05
342.0,38.0,0.0,228.0,0.0,932.0,670.0,270.0,55.060001
304.0,76.0,0.0,228.0,0.0,932.0,670.0,270.0,54.380001
362.600006,189.0,0.0,164.899994,11.6,944.7000119999999,755.799988,91.0,79.300003
173.5,50.099998,173.5,164.800003,6.5,1006.2000119999999,793.5,56.0,53.77
307.0,0.0,0.0,193.0,0.0,968.0,812.0,28.0,27.530001000000002
401.799988,94.699997,0.0,147.399994,11.4,946.7999880000001,852.099976,56.0,73.699997
151.600006,0.0,111.900002,184.399994,7.9,992.0,815.900024,28.0,12.18
359.0,19.0,141.0,154.0,10.9,942.0,801.0,28.0,62.939999
355.0,19.0,97.0,145.0,12.3,967.0,871.0,28.0,55.450001
108.300003,162.399994,0.0,203.5,0.0,938.2000119999999,849.0,90.0,29.23
331.0,0.0,0.0,192.0,0.0,1025.0,821.0,7.0,17.440001000000002
212.0,0.0,124.800003,159.0,7.8,1085.400024,799.5,3.0,19.52
382.5,0.0,0.0,185.699997,0.0,1047.800049,739.299988,28.0,37.439999
231.80000299999998,0.0,121.599998,174.0,6.7,1056.400024,778.5,3.0,15.44
252.0,0.0,0.0,186.0,0.0,1111.0,784.0,7.0,11.47
425.0,106.300003,0.0,151.399994,18.6,936.0,803.700012,91.0,66.699997
156.0,178.0,187.0,221.0,7.0,854.0,614.0,28.0,29.41
178.0,129.800003,118.599998,179.899994,3.6,1007.2999880000001,746.799988,14.0,34.240002000000004
310.0,0.0,0.0,192.0,0.0,1012.0,830.0,3.0,11.85
310.0,0.0,0.0,192.0,0.0,970.0,850.0,180.0,37.330002
349.0,0.0,0.0,192.0,0.0,1047.0,806.0,90.0,39.490002000000004
393.0,0.0,0.0,192.0,0.0,940.599976,785.599976,90.0,48.849998
286.299988,200.899994,0.0,144.699997,11.2,1004.599976,803.700012,7.0,38.0
165.0,128.5,132.100006,175.100006,8.1,1005.7999880000001,746.599976,56.0,53.720001
313.0,145.0,0.0,127.0,8.0,1000.0,822.0,28.0,44.52
439.0,177.0,0.0,186.0,11.1,884.900024,707.900024,7.0,56.099998
166.0,259.700012,0.0,183.199997,12.7,858.7999880000001,826.799988,28.0,37.919998
237.5,237.5,0.0,228.0,0.0,932.0,594.0,90.0,33.119999
540.0,0.0,0.0,173.0,0.0,1125.0,613.0,270.0,74.16999799999999
212.0,0.0,124.800003,159.0,7.8,1085.400024,799.5,28.0,38.5
190.300003,0.0,125.199997,161.899994,9.9,1088.099976,802.599976,56.0,38.560001
275.100006,0.0,121.400002,159.5,9.9,1053.599976,777.5,100.0,58.610001000000004
252.30000299999998,0.0,98.800003,146.300003,14.2,987.7999880000001,889.0,14.0,42.290001000000004
168.0,42.099998,163.800003,121.800003,5.7,1058.699951,780.099976,14.0,17.82
166.100006,0.0,163.300003,176.5,4.5,1058.599976,780.099976,100.0,33.540001000000004
277.0,0.0,0.0,191.0,0.0,968.0,856.0,3.0,11.36
218.19999700000002,54.599998,123.800003,140.800003,11.9,1075.699951,792.700012,100.0,63.529999
326.0,166.0,0.0,174.0,9.0,882.0,790.0,28.0,61.23
143.0,169.399994,142.699997,190.699997,8.4,967.400024,643.5,28.0,29.73
236.0,157.0,0.0,192.0,0.0,972.599976,749.099976,28.0,32.880001
290.200012,193.5,0.0,185.699997,0.0,998.2000119999999,704.299988,7.0,21.860001
321.0,0.0,128.0,182.0,11.0,870.0,780.0,28.0,37.259997999999996
198.600006,132.399994,0.0,192.0,0.0,978.400024,825.5,180.0,41.720001
218.19999700000002,54.599998,123.800003,140.800003,11.9,1075.699951,792.700012,56.0,61.990002000000004
225.0,0.0,0.0,181.0,0.0,1113.0,833.0,7.0,11.17
297.0,0.0,0.0,186.0,0.0,1040.0,734.0,7.0,30.959999
246.80000299999998,0.0,125.099998,143.300003,12.0,1086.800049,800.900024,14.0,42.220001
141.300003,212.0,0.0,203.5,0.0,971.7999880000001,748.5,7.0,10.39
213.80000299999998,98.099998,24.5,181.699997,6.7,1066.0,785.5,56.0,47.130001
305.299988,203.5,0.0,203.5,0.0,965.400024,631.0,90.0,54.599998
212.5,0.0,100.400002,159.300003,8.7,1007.7999880000001,903.599976,56.0,42.549999
491.0,26.0,123.0,210.0,3.9,882.0,699.0,3.0,25.610001
342.0,38.0,0.0,228.0,0.0,932.0,670.0,180.0,52.119999
251.80000299999998,0.0,99.900002,146.100006,12.4,1006.0,899.7999880000001,14.0,33.360001000000004
198.600006,132.399994,0.0,192.0,0.0,978.400024,825.5,7.0,14.64
304.0,76.0,0.0,228.0,0.0,932.0,670.0,365.0,55.259997999999996
