datasetname,avg_supp,kl_supp,wkl_supp,avg_usg,kl_usg,wkl_usg,wacc_supp,wacc_usg,jacc_avg,n_rules,avg_items,wkl_sum,length_orig,length_final,length_ratio,runtime,beamsize, 
baseball,91.7143,2.016,79.7585,40.2857,2.8734,85.4753,54064.0814,40485.0827,0.1681,7,2.4286,598.3269,4152.2079,3776.2952,0.9095,0.7097,1, 
baseball,59.2857,3.0625,148.3528,31.8571,3.0011,77.4958,69019.2912,35329.2365,0.2173,7,3.2857,542.4703,4152.2079,3868.192,0.9316,1.2711,3, 
baseball,73.7143,2.9504,179.1729,35.2857,2.8429,84.0916,82813.3408,38145.476,0.2623,7,3.0,588.6412,4152.2079,3809.3972,0.9174,2.4802,10, 
baseball,82.125,2.6035,159.1184,33.375,2.6477,79.0193,80228.2711,35406.237,0.239,8,2.375,632.1548,4152.2079,3746.7594,0.9024,35.8672,100, 
baseball,81.0,2.7236,162.2199,33.375,2.6477,79.0193,81205.7404,35406.237,0.231,8,2.375,632.1548,4152.2079,3746.7594,0.9024,91.1577,300, 
baseball,81.0,2.7236,162.2199,33.375,2.6477,79.0193,81205.7404,35406.237,0.231,8,2.375,632.1548,4152.2079,3746.7594,0.9024,219.1455,1000, 
autoMPG8,89.4545,1.5904,116.1235,34.0,1.7638,56.2337,664.8905,217.8688,0.1754,11,1.6364,618.5709,1963.784,1602.0979,0.8158,0.4387,1, 
autoMPG8,76.3,1.7188,102.8212,34.2,1.9373,62.3446,523.4874,228.2749,0.1533,10,2.1,623.4458,1963.784,1595.9316,0.8127,0.72,3, 
autoMPG8,73.625,1.6755,113.1171,40.25,1.9988,76.2751,531.3256,274.4929,0.1596,8,2.375,610.2006,1963.784,1574.9124,0.802,1.2242,10, 
autoMPG8,88.8889,1.5962,115.4679,40.6667,1.7529,69.5962,601.9533,264.9937,0.163,9,2.3333,626.3654,1963.784,1576.0121,0.8025,10.6382,100, 
autoMPG8,88.8889,1.5962,115.4679,40.6667,1.7529,69.5962,601.9533,264.9937,0.163,9,2.3333,626.3654,1963.784,1576.0121,0.8025,29.9946,300, 
