datasetname,avg_supp,kl_supp,wkl_supp,avg_usg,kl_usg,wkl_usg,wacc_supp,wacc_usg,jacc_avg,n_rules,avg_items,wkl_sum,length_orig,length_final,length_ratio,runtime,maxdepth
baseball,105.8,1.1057,89.4124,57.6,1.1482,61.5979,89982.9543,51076.2653,0.3034,5,1.0,307.9896,4152.2079,3965.0652,0.9549,1.3721,1
baseball,112.5,1.8402,129.6951,51.6667,2.0698,93.6368,89838.7062,51206.7161,0.2624,6,1.6667,561.821,4152.2079,3740.7024,0.9009,7.66,2
baseball,89.2857,2.4469,164.9366,38.1429,2.4741,86.1905,87059.7524,40464.2709,0.2974,7,2.1429,603.3335,4152.2079,3740.6475,0.9009,17.3581,3
baseball,82.125,2.6035,159.1184,33.375,2.6477,79.0193,80228.2711,35406.237,0.239,8,2.375,632.1548,4152.2079,3746.7594,0.9024,29.7334,4
baseball,82.125,2.6035,159.1184,33.375,2.6477,79.0193,80228.2711,35406.237,0.239,8,2.375,632.1548,4152.2079,3746.7594,0.9024,38.2176,5
baseball,82.125,2.6035,159.1184,33.375,2.6477,79.0193,80228.2711,35406.237,0.239,8,2.375,632.1548,4152.2079,3746.7594,0.9024,42.7825,6
baseball,82.125,2.6035,159.1184,33.375,2.6477,79.0193,80228.2711,35406.237,0.239,8,2.375,632.1548,4152.2079,3746.7594,0.9024,55.4574,7
baseball,82.125,2.6035,159.1184,33.375,2.6477,79.0193,80228.2711,35406.237,0.239,8,2.375,632.1548,4152.2079,3746.7594,0.9024,64.9657,8
baseball,82.125,2.6035,159.1184,33.375,2.6477,79.0193,80228.2711,35406.237,0.239,8,2.375,632.1548,4152.2079,3746.7594,0.9024,70.2551,9
baseball,82.125,2.6035,159.1184,33.375,2.6477,79.0193,80228.2711,35406.237,0.239,8,2.375,632.1548,4152.2079,3746.7594,0.9024,82.1307,10
baseball,82.125,2.6035,159.1184,33.375,2.6477,79.0193,80228.2711,35406.237,0.239,8,2.375,632.1548,4152.2079,3746.7594,0.9024,88.1842,11
autoMPG8,149.25,1.188,111.3536,47.625,1.3946,61.8903,816.0546,295.9481,0.318,8,1.0,495.1223,1963.784,1639.4287,0.8348,0.2623,1
autoMPG8,104.75,1.6236,125.8482,45.125,1.8174,75.3613,713.4247,283.5557,0.2407,8,1.75,602.8902,1963.784,1564.3445,0.7966,3.0837,2
autoMPG8,104.3333,1.6071,132.367,41.1111,1.7389,69.435,745.9402,268.9141,0.2192,9,2.1111,624.9152,1963.784,1568.6847,0.7988,7.2157,3
autoMPG8,88.8889,1.5962,115.4679,40.6667,1.7529,69.5962,601.9533,264.9937,0.163,9,2.3333,626.3654,1963.784,1576.0121,0.8025,12.9082,4
autoMPG8,88.8889,1.5962,115.4679,40.6667,1.7529,69.5962,601.9533,264.9937,0.163,9,2.3333,626.3654,1963.784,1576.0121,0.8025,18.4145,5
autoMPG8,88.8889,1.5962,115.4679,40.6667,1.7529,69.5962,601.9533,264.9937,0.163,9,2.3333,626.3654,1963.784,1576.0121,0.8025,23.2312,6
autoMPG8,88.8889,1.5962,115.4679,40.6667,1.7529,69.5962,601.9533,264.9937,0.163,9,2.3333,626.3654,1963.784,1576.0121,0.8025,22.1767,7
autoMPG8,88.8889,1.5962,115.4679,40.6667,1.7529,69.5962,601.9533,264.9937,0.163,9,2.3333,626.3654,1963.784,1576.0121,0.8025,19.5724,8
autoMPG8,88.8889,1.5962,115.4679,40.6667,1.7529,69.5962,601.9533,264.9937,0.163,9,2.3333,626.3654,1963.784,1576.0121,0.8025,24.4102,9
autoMPG8,88.8889,1.5962,115.4679,40.6667,1.7529,69.5962,601.9533,264.9937,0.163,9,2.3333,626.3654,1963.784,1576.0121,0.8025,21.6564,10
autoMPG8,88.8889,1.5962,115.4679,40.6667,1.7529,69.5962,601.9533,264.9937,0.163,9,2.3333,626.3654,1963.784,1576.0121,0.8025,21.3317,11
dee,97.4,1.3468,110.5025,56.2,1.3048,74.1019,89.6255,48.3563,0.2856,5,1.0,370.5097,728.4986,444.8414,0.6106,0.1875,1
dee,81.2857,1.4925,99.4587,46.4286,1.4571,61.7795,74.075,37.1177,0.1967,7,1.5714,432.4562,728.4986,432.4697,0.5936,3.5459,2
