datasetname,avg_supp,kl_supp,wkl_supp,avg_usg,kl_usg,wkl_usg,wacc_supp,wacc_usg,jacc_avg,n_rules,avg_items,top1_std,length_ratio,wkl_sum,std_rules,length_orig,length_final,runtime,ncutpoints, 
baseball,94.1667,2.1451,158.1021,51.5,2.2493,101.5302,84886.8348,51637.952,0.222,6,2.8333,80.3576,0.9046,609.1815,444.1708,4152.2079,3756.053,25.3061,3, 
baseball,98.5,2.5811,155.404,38.75,2.6404,80.6759,84184.5538,38405.0371,0.2493,8,2.375,12.1156,0.9025,645.4074,365.8517,4152.2079,3747.1757,48.2574,5, 
baseball,78.375,2.6173,157.4265,38.75,2.6061,85.6019,69415.51,35716.8205,0.1829,8,2.375,16.3941,0.8974,684.8152,438.7666,4152.2079,3726.3746,84.193,8, 
baseball,80.4444,2.7937,148.6122,33.6667,2.9106,78.7269,77654.0132,34248.4688,0.1776,9,2.3333,11.8144,0.8997,708.5424,405.2914,4152.2079,3735.5558,119.5308,10, 
autoMPG8,73.5,1.787,118.3794,53.3333,1.8106,92.0822,544.8267,366.6806,0.1028,6,2.6667,1.5926,0.8065,552.4931,2.6104,1963.784,1583.7056,4.4937,3, 
autoMPG8,78.4,1.5702,102.6448,35.6,1.9737,64.6465,523.302,231.3522,0.1446,10,1.8,1.5151,0.8045,646.4648,2.1831,1963.784,1579.8146,14.6077,5, 
autoMPG8,81.25,1.6836,97.9853,31.5833,1.8114,54.5798,481.4193,194.2203,0.134,12,1.6667,1.2797,0.8195,654.9577,2.5036,1963.784,1609.4028,35.7529,8, 
autoMPG8,63.0,1.727,97.2235,37.0,1.8187,67.1561,422.5493,236.7659,0.0911,9,1.8889,1.2321,0.8243,604.4052,2.4124,1963.784,1618.6808,41.1782,10, 
dee,84.0,1.238,90.6196,38.375,1.395,55.7281,65.3163,33.0477,0.2158,8,1.625,0.2535,0.6268,445.8244,0.3885,728.4986,456.6581,5.6554,3, 
dee,85.25,1.5662,86.7681,42.25,1.5786,60.5008,64.0306,34.3361,0.1412,8,1.875,0.2878,0.6178,484.0064,0.3689,728.4986,450.0571,13.3478,5, 
dee,65.625,1.5154,90.4709,37.375,1.5161,55.6868,60.1496,30.6002,0.1307,8,1.5,0.3317,0.6326,445.4943,0.3741,728.4986,460.8739,28.628,8, 
dee,81.0,1.3309,86.5612,40.0,1.5391,60.5136,61.8201,32.9136,0.1668,8,1.5,0.4081,0.6078,484.109,0.3428,728.4986,442.7945,40.4833,10, 
ele-1,134.1667,1.2818,132.3627,73.1667,1.392,85.2558,85998.9303,54696.1444,0.2456,6,1.6667,299.38,0.941,511.5346,678.4746,6048.2207,5691.074,0.1563,3, 
