datasetname,kl_supp,avg_supp,wkl_supp,kl_usg,avg_usg,wkl_usg,wacc_supp,wacc_usg,wkl_sum,jacc_avg,n_rules,avg_items,nrows_train,std_rules,top1_std,runtime,
cholesterol , 0.4001 , 38.1212 , 5.9856 , 0.9879,          8.7879 , 7.5807 , 407.6952 , 266.3579  ,          250.1644 , 0.0473 , 33.0000  , 4.4348 ,          297.0000 , 18.5727,  78.4835 , 14.0652
baseball , 0.8206 , 54.1923 , 23.6903 , 1.8280,          12.7308 , 21.8516 , 26093.3672 , 12515.6623  ,          568.1410 , 0.0687 , 26.0000  , 3.8947 ,          337.0000 , 277.2475,  1011.5924 , 35.0710
autoMPG8 , 0.9848 , 75.5909 , 71.1500 , 1.0572,          17.6818 , 24.2641 , 446.0690 , 111.1308  ,          533.8108 , 0.0819 , 22.0000  , 3.2857 ,          392.0000 , 1.5041,  4.2193 , 2.7041
dee , 0.8925 , 70.1000 , 44.7334 , 2.3029,          18.0000 , 26.8200 , 41.2319 , 13.9187  ,          536.3990 , 0.0791 , 20.0000  , 4.0625 ,          365.0000 , 0.1819,  0.4795 , 3.4615
ele-1 , 0.9919 , 78.1818 , 56.0187 , 0.4970,          22.4545 , 25.5905 , 52927.0928 , 16406.0304  ,          562.9911 , 0.0491 , 22.0000  , 3.4000 ,          495.0000 , 226.2479,  1228.0291 , 0.7875
forestFires , 2.9320 , 37.7193 , 26.2823 , 2.2289,          9.0175 , 25.8505 , 203.4094 , 139.8934  ,          1473.4784 , 0.0136 , 57.0000  , 4.0833 ,          517.0000 , 15.7037,  435.2870 , 57.3541
concrete , 0.6288 , 176.3714 , 72.8975 , 1.1633,          29.3429 , 37.3208 , 1433.3422 , 358.9525  ,          1306.2264 , 0.0747 , 35.0000  , 4.2963 ,          1030.0000 , 4.3601,  10.9033 , 13.8717
treasury , 2.2288 , 229.0800 , 212.5174 , 2.0761,          41.8800 , 101.2075 , 542.4758 , 106.1828  ,          2530.1869 , 0.1058 , 25.0000  , 3.0000 ,          1049.0000 , 0.2297,  2.3100 , 48.4308
wizmir , 1.3304 , 371.0769 , 287.0626 , 2.9882,          55.9615 , 121.9861 , 3492.0092 , 702.4299  ,          3171.6393 , 0.1264 , 26.0000  , 4.1364 ,          1461.0000 , 1.3084,  4.4692 , 12.8983
abalone , 0.5294 , 214.5508 , 70.4921 , 0.1300,          35.3814 , 16.9687 , 314.5479 , 59.0765  ,          2002.3100 , 0.0121 , 118.0000  , 3.4706 ,          4177.0000 , 0.2818,  1.9152 , 73.5739
puma32h , 0.2935 , 746.9079 , 230.8152 , 1.4322,          107.6579 , 159.7373 , 7.0221 , 2.4323  ,          12140.0331 , 0.0347 , 76.0000  , 4.7018 ,          8192.0000 , 0.0051,  0.0180 , 1298.6057
ailerons , 0.5323 , 1732.7129 , 347.7305 , 0.8571,          136.0495 , 142.0146 , 0.2019 , 0.0356  ,          14343.4710 , 0.0333 , 101.0000  , 4.1538 ,          13750.0000 , 0.0001,  0.0005 , 1046.7946
elevators , 0.5990 , 1036.0955 , 295.9577 , 0.4411,          105.6752 , 89.1254 , 2.2220 , 0.3500  ,          13992.6849 , 0.0162 , 157.0000  , 4.4118 ,          16599.0000 , 0.0014,  0.0097 , 595.4959
bikesharing , 1.0535 , 1964.9231 , 693.9923 , 1.4718,          190.8022 , 236.9315 , 149039.9941 , 22509.1133  ,          21560.7642 , 0.0375 , 91.0000  , 4.1111 ,          17379.0000 , 18.1375,  196.9911 , 95.3539
california , 0.4316 , 1385.2593 , 428.4924 , 0.6942,          152.7704 , 106.6024 , 68221689.1167 , 10903871.7347  ,          14391.3250 , 0.0217 , 135.0000  , 4.7183 ,          20640.0000 , 25959.6740,  104212.7218 , 157.6673
house , 0.9055 , 2150.3517 , 623.1959 , 0.4587,          157.0414 , 143.0731 , 43497160.5925 , 3978882.7535  ,          20745.6021 , 0.0225 , 145.0000  , 3.7500 ,          22784.0000 , 5364.4784,  83977.1095 , 666.1248
